statename,statefips,expansion,fpwaiver,small,template,note,age1518_mn,age1518_n,age1518_tstat,age1925_mn,age1925_n,age1925_tstat,age2634_mn,age2634_n,age2634_tstat,age3544_mn,age3544_n,age3544_tstat,white_mn,white_n,white_tstat,black_mn,black_n,black_tstat,hispanic_mn,hispanic_n,hispanic_tstat,othrace_mn,othrace_n,othrace_tstat,marpar_mn,marpar_n,marpar_tstat,singpar_mn,singpar_n,singpar_tstat,marchils_mn,marchils_n,marchils_tstat,singchils_mn,singchils_n,singchils_tstat,inc_acalt138_mn,inc_acalt138_n,inc_acalt138_tstat,inc_aca138_250_mn,inc_aca138_250_n,inc_aca138_250_tstat,inc_aca250_400_mn,inc_aca250_400_n,inc_aca250_400_tstat,inc_aca400pl_mn,inc_aca400pl_n,inc_aca400pl_tstat,inmetro_mn,inmetro_n,inmetro_tstat,nonmetro_mn,nonmetro_n,nonmetro_tstat,employed_mn,employed_n,employed_tstat,unemp_mn,unemp_n,unemp_tstat,nilf_mn,nilf_n,nilf_tstat,hier_n,hier_medicaid_share,hier_noncit400pl_share,hier_mktplce_share,hier_fpw_share,hier_pov_none_share,hier_100_138_share,hier_noncit_share,hier_400pl_share,ui_mn,ui_n,ui_tstat,ui_mn13,ui_n13
Maine,23,0,1,1,5,1,0.039968729,277,4.581391811,0.167941476,447,2.372550726,0.140630011,584,1.585804701,0.080774323,632,2.590662718,0.109925324,1773,0.876366436,0.14500684,24,0.397786617,0.15400453,32,0.511325836,0.146079757,111,0.590521753,0.091972338,573,1.422750831,0.113151791,245,0.000234622,0.110407526,196,0.09636604,0.125240512,926,1.146848202,0.17608638,372,2.483571529,0.171368273,228,1.803173184,0.123142655,341,0.458382189,0.069513279,999,4.243770123,0.106142923,1050,0.912931383,0.124697739,890,0.912931383,0.114045147,1287,1.102746367,0.269856811,65,1.86648488,0.119357933,403,0.092534825,199,0.042968003,0.348904775,0.485148515,0.122978707,0,0.140869299,0.041706487,0.307198287,0.113145932,26159,0.369322509,0.153237869,36063
Maryland,24,1,1,0,1,0,0.03593927,1358,6.30659771,0.068018417,2367,1.441129446,0.09308962,3273,3.117606163,0.082175133,3589,1.105044246,0.036511943,5460,11.35794353,0.060292736,2719,3.489056349,0.305948023,1160,14.71210289,0.048242165,1248,3.863834381,0.075597188,3041,0.209918216,0.107415014,1341,3.262100697,0.084655068,1076,0.740325749,0.065983202,5129,3.069022179,0.124384534,2131,6.226490974,0.120549612,1138,3.911580563,0.095841954,1403,2.14171195,0.041400363,5915,10.7107029,0.078495719,9720,2.281785965,,,,0.063339288,7126,6.907410145,0.131595294,399,2.507171154,0.130653046,2057,5.905700207,686,0.152003246,0.695587816,0.152408938,0,0,0,0.509265148,0.186322668,0.076756503,91202,11.87642479,0.135659999,161968
Massachusetts,25,1,0,0,1,5,0.017058996,1798,3.337043524,0.036977134,3447,1.480085492,0.037527103,4004,1.8538059,0.026858837,4054,1.534583926,0.025530414,9141,3.506736994,0.042800766,852,1.231753588,0.03732357,1651,1.071377039,0.048038597,1659,2.492964506,0.02392804,3199,2.148685694,0.033997401,1383,0.467181802,0.039781746,1281,1.036296368,0.032663229,7440,0.631544054,0.051338011,2678,4.041836262,0.048206351,1376,2.29817009,0.039257628,1862,1.367648125,0.01817636,7387,6.608864784,0.032935713,11640,2.504745722,,,,0.027590966,8935,3.731615782,0.073434033,415,1.973832369,0.046421288,2823,2.75530386,353,0.199958677,0.59376937,0.206271953,0,0,0,0.414724856,0.179044514,0.03143538,43559,40.23551941,0.050064956,68134
Michigan,26,1,0,0,1,3,0.032423031,2591,5.742577553,0.062235177,3802,0.368826985,0.075701135,4834,3.666727066,0.057176369,5323,0.946125031,0.052486507,12881,4.263004303,0.066551542,1652,0.861962676,0.139863425,840,5.187066078,0.059207592,1177,0.1591665,0.047524021,4995,3.530236483,0.078559519,2406,2.75667429,0.045848004,1448,2.117458105,0.064219438,7701,1.361465454,0.086292842,3636,4.917726994,0.085639655,2423,3.693885803,0.057714227,2744,0.551623285,0.038947542,7747,8.024474144,0.056225693,10917,3.229277849,0.079845325,3705,3.302774429,0.055596402,10551,4.702494144,0.132118505,654,4.005345345,0.076685241,3461,2.420078993,956,0.300368139,0.383613401,0.31601846,0,0,0,0.141610301,0.2420031,0.060595969,113544,22.48863029,0.156741234,296203
Minnesota,27,1,1,0,1,4,0.032231565,1402,3.642351866,0.055274379,1880,0.03686823,0.061240079,2834,1.203612566,0.058382327,3064,0.658061564,0.038359227,7574,6.164084911,0.0550253,359,0.000332759,0.217251617,396,6.363927364,0.071502988,851,1.475026488,0.038611124,3183,3.763278246,0.104799359,1026,3.771198511,0.042752672,854,1.381101966,0.055465367,4117,0.118854776,0.098368076,1521,4.661786079,0.091743775,1203,3.516083717,0.048517462,1638,0.917479515,0.031523397,4818,6.917575359,0.048114963,4805,2.93652606,0.090262807,1530,2.856846571,0.048051817,6553,4.734104156,0.106015543,217,1.630309582,0.10275777,1388,4.239059925,470,0.246255477,0.46880413,0.284940393,0,0,0,0.263033658,0.205770472,0.05503025,58886,18.06020737,0.10772413,113220
Mississippi,28,0,1,0,2,0,0.056990487,804,10.63833046,0.211686273,1252,2.827399015,0.198576579,1407,2.148422241,0.170432196,1668,0.290306509,0.154059977,2786,2.758394241,0.182703061,2039,1.104798436,0.349975473,143,3.625362158,0.191435457,163,0.427085131,0.119609834,1448,5.155305862,0.215486859,1031,2.88416338,0.179763087,357,0.230209723,0.184229277,2295,1.32532835,0.242757625,1534,6.163472652,0.218741807,793,2.414631128,0.161760927,942,0.799283206,0.095927187,1862,8.719954491,0.155448696,1725,1.932398081,0.179319821,2325,0.699158549,0.160997726,2854,4.053468227,0.321629213,269,3.705873489,0.211441659,1434,2.065094709,792,0.056260401,0.238051884,0.40351444,0.302173275,0,0.071326481,0.048115516,0.189936368,0.173356844,102150,7.868667603,0.246399949,147393
Missouri,29,0,1,0,2,0,0.055226837,1566,9.228900909,0.156065378,2517,2.915114403,0.153190777,3239,3.206588268,0.119215307,3417,1.603487253,0.115006267,8834,4.840882301,0.173893968,866,2.843605518,0.249169377,455,4.755722523,0.129044799,584,0.04889825,0.094848142,3429,5.570967674,0.209494988,1545,6.012268066,0.106648349,1000,1.774360657,0.12948914,4765,0.132192567,0.230609345,2263,9.557301521,0.206775567,1550,5.805999279,0.122130248,2000,0.854014575,0.055107653,4926,15.55188942,0.117125695,6997,4.511359692,0.178861033,2486,4.799574852,0.121482481,7048,5.479394913,0.278852925,351,4.165284634,0.172028015,2237,3.467162848,1280,0.061699766,0.256299468,0.435155455,0.246845311,0,0.083415917,0.083026123,0.173273345,0.130181362,151362,2.836121559,0.190957228,222473
Montana,30,1,1,0,1,0,0.063262287,224,2.8029778,0.099156579,359,1.005281448,0.133146153,523,1.215493679,0.130530728,520,1.023748398,0.086257931,1303,4.5690341,0,9,11.85409355,0.129836458,61,0.273774147,0.303192594,253,5.030474663,0.105417663,564,0.725553334,0.135444977,168,0.627697468,0.083111011,181,1.37000072,0.125063961,713,0.942964554,0.127942633,328,0.673490167,0.186685641,203,2.37625885,0.132747994,285,0.741090953,0.085740535,810,2.969812632,0.123902531,115,0.268665165,0.156195234,382,2.119671583,0.096401195,1044,3.675432682,0.299744246,45,2.209972858,0.188979031,371,2.976851463,221,0.262987305,0.397767174,0.339245521,0,0,0,0.083821014,0.31394616,0.115167068,22214,0.189800963,0.234042553,43692
Nebraska,31,0,0,0,3,2,0.072592652,515,3.094593525,0.120909501,754,0.074109688,0.143837119,998,1.632031441,0.122522154,1031,0.043607239,0.087863521,2719,5.680783749,0.127912432,104,0.160821587,0.32401115,280,5.829762936,0.147200732,195,0.785327017,0.103217403,1207,1.663649559,0.213999271,426,3.674719334,0.089007135,295,1.404015541,0.111427056,1370,1.088795662,0.217464204,569,4.531698704,0.166432236,459,1.97804594,0.123979376,578,0.108255364,0.073882448,1692,5.813367844,0.10898378,1599,1.92321527,0.145611455,631,1.286665559,0.103590788,2264,4.026633263,0.269808389,83,2.095187664,0.190746399,576,3.058825731,338,0.083365175,0.45364231,0.339709155,0,0.123283361,0.050549549,0.21220022,0.241442089,0.121988402,44491,0.597546995,0.158783169,57577
Nevada,32,1,0,0,1,3,0.109387647,690,2.676285267,0.138404326,1087,0.906623304,0.163925955,1564,1.516202211,0.157147955,1716,0.89805752,0.098249989,2201,6.877774715,0.111452241,393,1.992106915,0.238562173,1579,9.318318367,0.109838522,884,2.945418119,0.134937762,1490,1.458827138,0.173093947,791,1.621164203,0.148516743,533,0.03250384,0.148907165,2243,0.036379661,0.234444082,989,5.884899139,0.182196508,699,2.043123007,0.1350237,878,1.06679225,0.104461906,2491,6.677474976,0.147030793,4575,0.908879697,0.19201307,252,1.168481946,0.128851309,3195,5.732583046,0.272040215,224,3.107129574,0.210856015,1098,4.21163559,654,0.198697958,0.615374109,0.185927932,0,0,0,0.406319,0.209055109,0.149161854,87862,5.055669785,0.284802779,158235
