statename,statefips,expansion,fpwaiver,small,template,note,age1518_mn,age1518_n,age1518_tstat,age1925_mn,age1925_n,age1925_tstat,age2634_mn,age2634_n,age2634_tstat,age3544_mn,age3544_n,age3544_tstat,white_mn,white_n,white_tstat,black_mn,black_n,black_tstat,hispanic_mn,hispanic_n,hispanic_tstat,othrace_mn,othrace_n,othrace_tstat,marpar_mn,marpar_n,marpar_tstat,singpar_mn,singpar_n,singpar_tstat,marchils_mn,marchils_n,marchils_tstat,singchils_mn,singchils_n,singchils_tstat,inc_acalt138_mn,inc_acalt138_n,inc_acalt138_tstat,inc_aca138_250_mn,inc_aca138_250_n,inc_aca138_250_tstat,inc_aca250_400_mn,inc_aca250_400_n,inc_aca250_400_tstat,inc_aca400pl_mn,inc_aca400pl_n,inc_aca400pl_tstat,inmetro_mn,inmetro_n,inmetro_tstat,nonmetro_mn,nonmetro_n,nonmetro_tstat,employed_mn,employed_n,employed_tstat,unemp_mn,unemp_n,unemp_tstat,nilf_mn,nilf_n,nilf_tstat,hier_n,hier_medicaid_share,hier_noncit400pl_share,hier_mktplce_share,hier_fpw_share,hier_pov_none_share,hier_100_138_share,hier_noncit_share,hier_400pl_share,ui_mn,ui_n,ui_tstat,ui_mn13,ui_n13
Rhode Island,44,1,0,1,4,3,0.049624453,275,0.587338567,0.086276862,548,2.23533392,0.051286848,571,0.850188792,0.045663466,589,1.365586758,0.03721616,1380,3.856572151,0.109750797,97,1.576393604,0.108283689,289,2.640666962,0.0716674,217,0.656598747,0.041620379,490,1.7411412,0.055987277,233,0.175807953,0.040786272,166,1.076104641,0.069622826,1094,1.901736856,0.109779883,468,3.544701338,0.060287667,264,0.096133798,0.071522474,301,0.809806824,0.025446698,950,5.045502663,0.058777556,1983,,,,,0.055920372,1316,1.072039008,0.104566579,84,1.149377108,0.065884435,412,0.408184677,104,0.349343219,0.417922476,0.232734306,0,0,0,0.241034733,0.176887743,0.058777556,12409,9.010861397,0.15482709,32150
South Carolina,45,0,1,0,2,0,0.044914032,1259,14.07758713,0.182219388,2009,2.265880108,0.173102072,2447,1.751528502,0.173511866,2805,1.926819921,0.127685473,5551,6.321277618,0.162948971,2078,0.542577267,0.427643346,501,10.12799168,0.155982228,390,0.082223967,0.122443006,2402,4.212493896,0.210117518,1385,4.118290901,0.127661668,802,2.081357956,0.16088759,3931,0.459061146,0.244681871,2052,8.345981598,0.20329185,1345,3.361473799,0.137971949,1514,1.81893301,0.085836746,3609,11.52932072,0.158243795,6583,0.042606987,0.155336372,696,0.149967015,0.144446345,5375,6.409071445,0.319157446,357,4.691820145,0.216080879,1952,4.0508008,1074,0.07246758,0.318706105,0.37939606,0.229430255,0,0.064240997,0.132006734,0.186699371,0.158124648,152068,7.510268211,0.231089601,215730
South Dakota,46,0,0,1,5,0,0.107112616,243,0.485600531,0.121815967,340,0.00390067,0.158731125,438,1.900286436,0.089842433,443,2.00375247,0.082324048,1170,4.900599003,0.124513619,14,0.029820437,0.274288711,42,1.58186686,0.303845967,238,4.792103767,0.056370346,505,4.677427769,0.219836822,210,3.044855118,0.135111627,126,0.254034132,0.134632806,623,0.931887984,0.259932934,279,4.628516197,0.151098672,197,1.020561099,0.112062948,310,0.358426601,0.059220264,678,5.157401085,0.070939863,204,2.631709814,0.136687611,767,1.089659452,0.090239411,995,3.976630449,0.297795446,40,1.936171055,0.229448676,251,3.100818157,187,0.065411246,0.323384389,0.427769618,0,0.183434746,0.102706672,0.100923206,0.222461183,0.121742351,19064,0.402835011,0.187258959,29230
Tennessee,47,0,0,0,3,0,0.053984939,1603,8.224801064,0.11872994,2650,0.670159459,0.140685096,3504,4.426311016,0.108417584,3812,0.972554564,0.093642564,8682,7.023190975,0.103279315,1694,1.315609336,0.38292592,636,11.70056248,0.115281802,557,0.086710028,0.095750524,3638,3.070774794,0.13141258,1665,1.923007011,0.112933749,1235,0.070195615,0.118825063,5031,1.150706768,0.168796647,2511,6.924859047,0.150218219,1671,3.504173517,0.102949792,2056,1.368334532,0.074786363,5331,9.085076332,0.113273698,7291,0.162803799,0.10842562,1346,0.491624445,0.10804399,7216,4.457490444,0.192201248,451,3.157920599,0.144014599,2757,3.053677559,1178,0.079659618,0.417270098,0.354569187,0,0.148501097,0.073411673,0.188773832,0.228496265,0.113730225,149009,0.849507391,0.182897208,234329
Texas,48,0,1,0,2,0,0.14754894,7339,17.94826889,0.282800842,10864,8.166148186,0.26027166,14986,4.441929817,0.239461762,16789,0.975181222,0.137842356,21421,35.39896011,0.212779302,4859,4.21282196,0.360548242,19477,39.52529526,0.144632716,4221,13.88953114,0.238469265,16544,1.215102434,0.360494748,7222,18.48756218,0.188019379,5019,7.73169899,0.213600207,21193,10.20769787,0.380971639,11286,28.43121147,0.31676445,7018,11.557127,0.249403722,7866,1.088049531,0.137486689,23808,39.47050858,0.237264187,42048,5.677436829,0.287719484,1983,3.217588186,0.204720008,29648,25.47866821,0.442547513,1875,12.65888691,0.345386691,12994,20.18764114,10681,0.046817663,0.49038914,0.281419985,0.181373212,0,0.050605767,0.312510913,0.177878227,0.242963141,1426043,53.3361702,0.311842256,1717992
Utah,49,0,0,0,3,2,0.078737559,1005,2.774821758,0.100305056,1604,1.036739111,0.125004957,1785,1.826764941,0.116356568,1990,0.818049908,0.070788121,5170,9.804499626,0.092355212,47,0.360609263,0.303649414,724,9.960469246,0.12514696,443,0.836572587,0.088604583,2467,3.088854074,0.248219023,517,5.943033218,0.052829683,735,5.483273029,0.109982114,2665,0.069462076,0.206765022,1226,7.41011858,0.128822091,901,1.473167658,0.103193812,1180,0.556102514,0.064041704,3077,8.212774277,0.102138403,4901,2.729204655,0.239785103,352,3.521754503,0.094259062,3881,4.528374672,0.159214182,136,1.204228163,0.15546144,1640,4.18816328,599,0.066266607,0.474624606,0.308126884,0,0.150981903,0.08147157,0.282163565,0.192461042,0.109550524,73989,1.398292303,0.180146703,113391
Vermont,50,1,1,1,4,0,0.002552957,157,4.367706776,0.046977422,236,0.005366381,0.074827275,272,1.657524228,0.03915063,324,0.628873289,0.050406043,912,2.173745632,0,6,4.717451572,0.0428999,25,0.098135367,0.002660407,46,4.319303989,0.025592908,284,1.881819844,0.02978752,114,1.050531983,0.098039216,90,1.378979683,0.055023965,501,0.832217634,0.01843573,186,2.350854397,0.127483746,128,1.749271631,0.035168739,171,0.726777792,0.039244543,504,0.767573178,0.02835399,310,1.53221643,0.060006001,679,1.53221643,0.047989234,653,0.493130028,0.218758471,33,1.439112782,0.034901769,204,1.097964048,47,0.081636501,0.392156863,0.526206637,0,0,0,0,0.392156863,0.047083888,5304,7.011140823,0.072472081,8339
Virginia,51,0,1,0,3,1,0.064424437,2173,6.962521076,0.138156029,3513,2.683017969,0.135780954,4539,2.813580751,0.112380154,5087,1.362756968,0.082572265,9792,10.87118626,0.136985243,2252,2.107731581,0.32153886,1375,13.40380764,0.080745526,1893,4.686907291,0.098461438,4759,3.916387796,0.179769442,1667,5.588016987,0.113908499,1643,0.483537436,0.116495321,7243,0.716033816,0.217677353,2962,11.62144279,0.163190811,1672,3.935938835,0.130540798,2149,1.181871891,0.064692436,8529,15.26742268,0.116245675,11673,1.439655781,0.152215862,276,1.05225718,0.102195315,9964,8.82156086,0.283818622,513,5.821496487,0.172343605,3308,5.971677303,1405,0.037693713,0.493044403,0.286042637,0.183219247,0,0.063172475,0.288381243,0.20466316,0.119307615,199264,0.630028784,0.169486054,281436
Washington,53,1,1,0,1,0,0.035500719,1790,7.698978424,0.077183396,2858,0.321995616,0.089809202,4155,2.201041937,0.085327176,4553,1.354455829,0.050803496,8813,10.24252892,0.108959985,354,1.295324445,0.220460096,1651,11.91326427,0.056556879,2538,3.959520817,0.079664304,4330,0.119507506,0.113025433,1545,3.367656469,0.06063686,1502,2.287566662,0.07371821,5979,1.509040356,0.124903403,2479,5.704717636,0.132040614,1678,5.144369125,0.090352519,2107,1.485315204,0.045048781,7092,10.88252068,0.076186449,11130,2.146545172,0.10893914,607,1.779369116,0.071741428,8388,5.062550068,0.129848288,509,2.045193434,0.111429584,3163,4.195508003,950,0.173459814,0.600403072,0.226137114,0,0,0,0.384125578,0.216277494,0.079103934,115116,11.84824848,0.209326235,288511
West Virginia,54,1,0,1,4,3,0.035238075,412,2.795053959,0.086424808,677,1.087680697,0.0853249,821,1.10745728,0.067601246,1000,0.529223561,0.072664301,2679,0.096726254,0.05341442,96,0.854790986,0.142226836,45,0.879570544,0.066057754,90,0.146585554,0.055287798,935,1.818278193,0.044604263,426,2.375971794,0.103175177,277,1.251860261,0.087820639,1272,2.017256021,0.087319405,1077,1.689883351,0.083339331,501,0.701029778,0.087435667,489,0.990836799,0.034741903,843,4.00284481,0.053597751,592,1.692822814,0.077964373,1018,0.55197674,0.069195207,1674,1.195920825,0.18126493,133,2.630977154,0.070240099,825,0.57218343,176,0.498482452,0.157269269,0.344248279,0,0,0,0.02876929,0.128499979,0.07245892,23393,6.555067062,0.225256584,75456
Wisconsin,55,0,1,0,2,0,0.037361802,1504,3.071362495,0.080264651,1996,2.380265236,0.079773586,2734,2.479653597,0.050634012,3131,2.815976143,0.050674126,7914,5.229092121,0.064802123,357,0.007421998,0.166285914,541,4.95045042,0.095773121,553,1.89379406,0.053027484,3108,2.18948555,0.087462489,1177,2.191014767,0.051694898,874,1.268172145,0.0669832,4206,0.578825712,0.104648717,2820,6.660381794,0.095136438,1663,3.252909899,0.044278444,2052,3.317035913,0.013939213,2830,12.62905884,0.058688457,4961,2.474247217,0.072462076,1361,0.772644162,0.054960958,6584,5.133933544,0.108735554,218,1.593060732,0.114342445,1484,4.657989025,598,0.30832093,0.230220975,0.461458095,0,0,0.141988207,0.173402794,0.056818182,0.064693541,69872,14.28811359,0.115796164,125533
Wyoming,56,0,0,1,5,0,0.127522872,136,1.199971795,0.209972408,205,1.175421357,0.177445264,320,0.162861764,0.160534606,344,0.54765749,0.143205849,838,3.144052267,0.077922078,7,1.072546721,0.368296466,82,3.026767492,0.238169123,78,1.048687339,0.135662277,376,1.794609427,0.353112532,142,3.439586163,0.141338275,100,0.728918433,0.14746159,387,1.29673481,0.308836817,308,4.870869637,0.191072501,199,0.535616577,0.12089598,229,1.918964028,0.043039582,269,6.672153473,,,,0.183487008,574,0.701796412,0.155486176,648,1.880752563,0.172088143,30,0.063081831,0.243701683,219,1.914458752,155,0.171231012,0.208145043,0.416616758,0,0.204007187,0.075788098,0.141721566,0.066423477,0.173270316,18367,3.385591745,0.194776725,21591
US,99,,,,,,0.061320423,80266,48.99884033,0.126181974,128643,8.437095642,0.130886285,170522,15.50638771,0.119658699,186738,3.164661884,0.079279512,342165,69.62271881,0.125354874,58771,5.140054226,0.223413105,102693,76.45269012,0.092756274,62540,16.17926216,0.107036328,169748,11.20739651,0.16386805,76213,29.88612366,0.103879505,55774,7.763270855,0.110149731,264434,11.18893433,0.181663243,126304,54.36067963,0.159549017,77286,26.7883625,0.117166201,92417,0.122116387,0.068244454,270162,79.40024567,0.114004192,435360,10.55242062,0.133661948,50670,7.821820736,0.101158349,357352,50.40610886,0.217823589,21896,25.70314026,0.168816722,129272,38.74755096,57799,0.135911577,0.472054048,0.28314398,0.082197106,0.026693288,0.03590773,0.275587379,0.196466669,0.117008029,7459703,201.3663025,0.203156227,12747870
