statename,statefips,expansion,fpwaiver,small,template,note,age1518_mn,age1518_n,age1518_tstat,age1925_mn,age1925_n,age1925_tstat,age2634_mn,age2634_n,age2634_tstat,age3544_mn,age3544_n,age3544_tstat,white_mn,white_n,white_tstat,black_mn,black_n,black_tstat,hispanic_mn,hispanic_n,hispanic_tstat,othrace_mn,othrace_n,othrace_tstat,marpar_mn,marpar_n,marpar_tstat,singpar_mn,singpar_n,singpar_tstat,marchils_mn,marchils_n,marchils_tstat,singchils_mn,singchils_n,singchils_tstat,inc_acalt138_mn,inc_acalt138_n,inc_acalt138_tstat,inc_aca138_250_mn,inc_aca138_250_n,inc_aca138_250_tstat,inc_aca250_400_mn,inc_aca250_400_n,inc_aca250_400_tstat,inc_aca400pl_mn,inc_aca400pl_n,inc_aca400pl_tstat,inmetro_mn,inmetro_n,inmetro_tstat,nonmetro_mn,nonmetro_n,nonmetro_tstat,employed_mn,employed_n,employed_tstat,unemp_mn,unemp_n,unemp_tstat,nilf_mn,nilf_n,nilf_tstat,hier_n,hier_medicaid_share,hier_noncit400pl_share,hier_mktplce_share,hier_fpw_share,hier_pov_none_share,hier_100_138_share,hier_noncit_share,hier_400pl_share,ui_mn,ui_n,ui_tstat,ui_mn13,ui_n13,hier_benefit
Alabama,1,0,1,0,2,0,0.03083952,1164,14.31730461,0.185571625,1931,3.891217232,0.166082403,2344,2.585645199,0.139085998,2654,0.485265911,0.128613268,5495,3.051122904,0.139552686,1969,0.402990758,0.378273161,313,6.353907585,0.11807149,316,1.062070489,0.117644868,2406,2.832503796,0.176003488,1370,2.748632431,0.112521611,776,2.101944447,0.148869375,3541,0.979984462,0.224502674,3411,12.72747421,0.143825666,1507,0.079480506,0.056157586,1460,10.17497635,0.02651984,1715,17.39379883,0.127207346,4760,4.041555882,0.218900329,1145,4.540313721,0.128119282,4696,5.869570255,0.343813683,363,5.677827835,0.185786864,2227,3.057765722,1034,0.082813064,0.131866998,0.33938983,0.445930108,0,0.106444456,0.100672971,0.031194027,0.142930891,135667,5.011435509,0.221908722,212982,0.552374564
Alaska,2,1,0,0,1,3,0.044762429,164,2.426010132,0.07423341,270,0.760936916,0.114855756,378,1.162852645,0.093540524,361,0.145988062,0.104707693,504,1.221387506,0.348725017,10,1.346678853,0.082324643,52,0.230649978,0.054436926,607,2.342865229,0.082452794,360,0.463461787,0.099008525,201,0.208780855,0.11642862,110,0.595141888,0.088167272,502,0.17544277,0.099785977,508,0.532868862,0.172220379,257,2.454168558,0.063742812,215,1.296432734,0.010106757,193,5.923557281,0.09193487,247,0.072651215,0.079263108,488,0.532564878,0.09523016,726,0.065622233,0.230157493,65,1.460700989,0.065557699,254,1.51900351,97,0.360535017,0.174030658,0.465434325,0,0,0,0.151337541,0.022693117,0.090793109,13308,1.849486113,0.17332749,24916,0
Arizona,4,1,0,0,1,3,0.086855941,1793,3.672070742,0.128395927,2683,1.607935667,0.114465803,3422,0.4303931,0.123634251,3896,1.160428047,0.075931111,5674,10.21960354,0.093411148,401,1.180033922,0.189766287,3887,13.28199387,0.057530342,1832,8.051560402,0.113418699,3385,0.575107336,0.132647938,1790,1.682457328,0.101980464,1142,1.37647903,0.116414668,5477,0.13627024,0.16156696,4448,8.614029884,0.138804393,2319,2.777237892,0.101014484,2110,2.022470474,0.033955796,2917,17.23806953,0.116418582,10617,0.44098115,0.084536809,540,1.88743341,0.105229628,7042,5.150367737,0.160320126,516,1.946416616,0.151861461,2912,4.378934383,1221,0.350377093,0.3697175,0.279905407,0,0,0,0.31074396,0.05897354,0.116968245,156460,0.459386617,0.221875916,286247,0
Arkansas,5,1,0,0,1,3,0.060483256,747,3.770972252,0.104860486,1200,0.051621761,0.108404648,1454,0.433780313,0.118754278,1677,1.591112256,0.078332183,3727,5.467287064,0.103698668,692,0.0446117,0.292416977,384,6.658783436,0.128634361,275,0.738329351,0.096635788,1716,0.889180303,0.124072101,847,1.427572489,0.104460655,474,0.007598788,0.100904505,2041,0.477077961,0.137593096,2075,4.445298195,0.126557665,1084,1.810151458,0.072706981,905,3.049725533,0.034189062,1014,7.908956528,0.104138309,2186,0.031832222,0.104990639,824,0.049276516,0.086363166,3011,4.817380428,0.229989055,235,2.963737965,0.146095484,1297,3.161564589,461,0.417209669,0.256386204,0.326404127,0,0,0,0.19735674,0.059029464,0.104327843,59699,1.82348907,0.245419599,139818,0
California,6,1,1,0,1,0,0.040462021,9484,18.11626244,0.086977807,16125,0.041828919,0.093719897,22386,3.359747887,0.098611569,23979,5.845835686,0.050176363,23757,20.89310074,0.060578245,3197,5.25999403,0.131593394,29589,28.50559616,0.053344976,15431,14.58463097,0.087279695,20312,0.092008062,0.113644987,8531,7.070227623,0.081981058,7406,1.311842203,0.080941251,35725,4.632305622,0.129417221,26279,23.05090904,0.109597728,12124,7.279059887,0.070665764,11061,5.627100468,0.026214118,22510,38.23758698,0.086647466,70428,1.985073805,0.097713129,1312,0.992153585,0.075517373,43891,15.41732311,0.132902301,3127,5.209762096,0.125192869,18047,13.22407246,5717,0.306740006,0.493732558,0.199527436,0,0,0,0.42820484,0.065527718,0.087079842,703397,21.89399719,0.228116281,1816677,0
Colorado,8,1,0,0,1,3,0.048128683,1438,6.68150568,0.106156154,2099,1.226522326,0.109046165,3280,2.176885366,0.094884776,3478,0.235102296,0.063215918,7110,9.724024773,0.096434485,288,0.009635439,0.193796234,2063,10.72722626,0.062302323,834,3.264528751,0.091055993,3294,0.879701197,0.122235324,1006,2.053794146,0.081977318,1271,1.517624974,0.096936452,4724,0.170360506,0.14339205,2827,6.694000244,0.140560509,1800,4.613515377,0.087668744,1974,1.116798401,0.033426742,3694,13.68631935,0.09326456,7842,1.363726497,0.147349245,580,2.225464106,0.087887689,6924,4.957885265,0.131581098,311,1.226816416,0.144926064,2005,4.62086153,818,0.272306778,0.426811097,0.300882124,0,0,0,0.328004022,0.098807075,0.096216513,109395,4.785732746,0.183317561,194686,0
Connecticut,9,1,1,0,1,0,0.032998173,910,5.299740791,0.067397895,1474,0.376491696,0.082138684,1827,1.747710943,0.077171839,2011,1.0810498,0.045701894,4021,6.378697872,0.051854958,601,1.755953908,0.153001367,1012,7.108616829,0.066223851,588,0.332818359,0.059609282,1648,1.529483676,0.097558023,753,2.179231405,0.091753443,559,1.37779355,0.063954701,3262,1.514178872,0.10267493,2054,5.001631737,0.095146603,825,2.175325155,0.068179059,985,0.216643259,0.027200389,2358,8.610071182,0.070905824,5926,1.118685722,0.053132634,296,1.118685722,0.063507057,4066,3.888493299,0.119880026,255,1.896386385,0.106082672,1224,3.05944252,364,0.264554649,0.535972293,0.199473058,0,0,0,0.437616862,0.098355431,0.070168219,47064,10.57957935,0.116133379,79119,0
Delaware,10,1,0,1,4,3,0.017857895,201,4.914708614,0.107442466,345,1.827004075,0.100887517,446,1.754769683,0.043426316,485,2.735755444,0.048018832,914,3.009204626,0.065170182,290,0.626072764,0.25831809,147,4.214583397,0.025656207,126,2.832348108,0.080261085,415,0.388654232,0.100803029,229,1.060101628,0.061899837,126,0.516886353,0.063986048,707,1.117311001,0.107275881,515,2.646871328,0.118371943,247,1.835883498,0.05571375,232,1.023445606,0.013009639,483,6.357185364,0.074060768,1477,,,,,0.071649155,963,1.282401204,0.030860349,54,2.357384205,0.110977583,322,1.693563104,94,0.372789014,0.392044182,0.235166803,0,0,0,0.349429062,0.042615121,0.074060768,13399,4.483386517,0.129559319,23170,0
the District of Columbia,11,1,0,1,4,3,0,120,5.895320892,0.023510972,508,0.796246052,0.028625471,723,0.215787917,0.044844666,470,1.514042258,0.020229162,890,1.744436264,0.029660841,571,0.03772131,0.065291199,197,1.863542199,0.036151047,163,0.315141529,0.060247373,239,1.384157658,0.036013691,152,0.417342693,0.022296389,234,0.628536701,0.024669015,1196,1.267604828,0.030917922,598,0.142239764,0.013938486,131,1.677074552,0.08206158,210,2.277781487,0.018805709,882,2.073137999,0.029911261,1821,,,,,0.031801521,1338,0.189725101,0.043262319,87,0.526558638,0.026480272,345,0.43567431,45,0.216917024,0.604613734,0.178469242,0,0,0,0.419885551,0.184728183,0.029911261,5592,16.73978233,0.063597185,11053,0
Florida,12,0,0,0,3,0,0.084773472,4354,17.17846489,0.201660878,6994,3.986625195,0.204096482,9586,5.484054565,0.178264867,11042,0.391639948,0.14049998,16355,12.769557,0.188983366,4870,1.443437338,0.239768232,8572,12.62803936,0.150658414,2179,2.856390715,0.160977364,8766,3.97931838,0.213940824,4813,4.994882107,0.172997086,3385,0.81369549,0.178818055,15012,0.344247669,0.263135024,11570,22.13500595,0.196755678,6634,3.081054688,0.122655704,5865,10.49766636,0.053874904,7907,32.05122757,0.179592931,29812,0.299704522,0.24194963,115,1.063930273,0.164609193,20192,12.01808929,0.334697238,1317,8.818334579,0.233830479,7297,7.928177834,4919,0.070081248,0.327063828,0.345075336,0,0.257779588,0.081648084,0.277463938,0.04959989,0.179828719,685062,23.51445389,0.281600529,1016650,0.339427672
