statename,statefips,expansion,fpwaiver,small,template,note,age1518_mn,age1518_n,age1518_tstat,age1925_mn,age1925_n,age1925_tstat,age2634_mn,age2634_n,age2634_tstat,age3544_mn,age3544_n,age3544_tstat,white_mn,white_n,white_tstat,black_mn,black_n,black_tstat,hispanic_mn,hispanic_n,hispanic_tstat,othrace_mn,othrace_n,othrace_tstat,marpar_mn,marpar_n,marpar_tstat,singpar_mn,singpar_n,singpar_tstat,marchils_mn,marchils_n,marchils_tstat,singchils_mn,singchils_n,singchils_tstat,inc_acalt138_mn,inc_acalt138_n,inc_acalt138_tstat,inc_aca138_250_mn,inc_aca138_250_n,inc_aca138_250_tstat,inc_aca250_400_mn,inc_aca250_400_n,inc_aca250_400_tstat,inc_aca400pl_mn,inc_aca400pl_n,inc_aca400pl_tstat,inmetro_mn,inmetro_n,inmetro_tstat,nonmetro_mn,nonmetro_n,nonmetro_tstat,employed_mn,employed_n,employed_tstat,unemp_mn,unemp_n,unemp_tstat,nilf_mn,nilf_n,nilf_tstat,hier_n,hier_medicaid_share,hier_noncit400pl_share,hier_mktplce_share,hier_fpw_share,hier_pov_none_share,hier_100_138_share,hier_noncit_share,hier_400pl_share,ui_mn,ui_n,ui_tstat,ui_mn13,ui_n13,hier_benefit
Georgia,13,0,1,0,2,0,0.101019307,2597,11.36821365,0.201244779,4055,1.602669477,0.220670203,5395,5.054813385,0.190853375,6181,0.227576718,0.143400233,10065,11.4510994,0.183681764,5038,1.09454751,0.438701192,1763,17.86943626,0.161728961,1362,2.268403769,0.166322528,5495,3.920705795,0.280487415,2808,9.353988647,0.155154006,1748,3.016956091,0.175289772,8177,3.452057123,0.294448502,6931,20.99194908,0.216766871,3284,3.258787632,0.112972664,3162,10.78423786,0.049482535,4851,29.04177856,0.181589101,12701,3.460660458,0.229793284,774,2.043323517,0.165385413,11082,11.4647522,0.354477348,873,7.328035355,0.256406459,4391,7.617182255,3159,0.121718241,0.253057785,0.320115268,0.305108706,0,0.081643901,0.200361818,0.052695966,0.189608578,404623,19.64014816,0.260316254,544743,0.386752607
Hawaii,15,1,0,1,4,3,0.065277684,313,0.62242949,0.057628854,496,0.348877758,0.071140189,742,1.846508265,0.02681826,842,3.488620281,0.042629956,467,0.836300671,0.101031553,23,0.519360662,0.069909005,261,0.85116601,0.05159615,1642,0.250193805,0.026369626,727,3.404607058,0.061462703,277,0.393905431,0.050960814,273,0.114122525,0.067503859,1116,2.032170296,0.099941966,836,4.34804678,0.05456791,526,0.151569769,0.021488038,513,3.704770803,0.006517201,518,6.598277092,0.039114242,1725,2.750201464,0.099805436,275,1.95966506,0.026035323,1525,4.823170185,0.209958085,70,2.448102236,0.112490447,572,3.694775105,101,0.503911677,0.290414565,0.205673759,0,0,0,0.264166118,0.026248446,0.052760097,13677,9.50633812,0.096617772,25504,0
Idaho,16,0,0,0,3,2,0.072762097,457,5.34189558,0.178131123,608,0.783087432,0.201832642,841,2.373705626,0.160597738,925,0.235752791,0.140157358,2340,4.084960938,0.176086957,12,0.079816394,0.32433739,327,5.398049831,0.078431373,152,3.088383436,0.140168612,1123,1.984759688,0.238690864,334,2.503509998,0.116330478,299,1.923538327,0.17477121,1075,0.876829028,0.265454902,917,6.949094772,0.168480065,732,0.262849271,0.103492166,608,4.016994953,0.042182835,574,8.794712067,0.14465292,1175,2.105266333,0.284239222,384,3.997798204,0.158330251,1694,2.262752295,0.291298729,67,1.574866533,0.204597784,718,1.613340616,431,0.056894998,0.176036503,0.439593661,0,0.327474839,0.114465976,0.126164188,0.049872315,0.16386512,53256,4.999551296,0.228778508,70359,0.441940815
Illinois,17,1,0,0,1,3,0.034950095,3196,12.47238922,0.097347983,4964,1.214679003,0.10331728,6939,2.910553217,0.097689814,7445,1.697758794,0.055535574,14579,14.23058796,0.088099049,2400,0.457807869,0.198907853,3625,15.43116951,0.076457906,1940,1.930277705,0.085669606,6770,1.327232242,0.129603756,3082,5.059158325,0.084824063,2064,0.792371511,0.082992264,10628,2.942955017,0.133667228,7506,10.87005901,0.143149222,3836,7.759740829,0.061797275,4193,6.079209328,0.022719122,7009,21.24521255,0.09606285,17756,6.179169178,0.086769028,1380,0.37673533,0.080511863,14689,8.472003937,0.170171555,940,4.365834713,0.133664267,4539,6.356173992,1635,0.323392794,0.427725083,0.248882123,0,0,0,0.375845184,0.051879898,0.091135143,230571,9.108359337,0.162851755,423901,0
Indiana,18,1,1,0,1,0,0.05409947,1728,7.70937252,0.114041479,2836,0.655337572,0.139201976,3420,4.492126465,0.101621207,3757,1.3950665,0.090852008,9427,6.853827953,0.139335368,889,2.180365801,0.236975811,782,6.927725315,0.109908464,643,0.034071743,0.100301649,3677,1.50249517,0.145292557,1784,3.79548502,0.075164291,1130,3.389004946,0.108580806,5150,0.177220285,0.158759904,4291,8.844704628,0.136824408,2327,3.34084487,0.074099432,2388,5.162311077,0.036899262,2735,12.44627762,0.101611896,7813,3.23573494,0.145752451,1403,2.854774952,0.091140129,7526,8.005434036,0.212095933,419,3.732202291,0.168625665,2564,6.345932961,1119,0.44059078,0.232845244,0.326563975,0,0,0,0.159624843,0.073220401,0.109368799,141914,1.487408638,0.195967568,252981,0
Iowa,19,1,1,0,1,0,0.027447348,808,3.47703433,0.055658148,1288,0.064078964,0.067271004,1587,1.565643668,0.055920568,1701,0.114323951,0.039903557,4724,4.964434624,0.077502323,123,0.742546678,0.180215569,279,4.32821846,0.1002085,258,1.881526351,0.054026534,1945,0.176278934,0.079961889,678,1.752352834,0.059204928,433,0.23439981,0.047106551,2328,1.554213524,0.078658004,1676,3.068035364,0.085027966,1041,2.827550411,0.050311547,1232,0.517489672,0.011569513,1435,8.684741974,0.056321643,1829,0.240440339,0.072465863,938,1.420602679,0.04277124,3728,4.744015217,0.14350025,142,1.961722732,0.111399945,927,3.985537291,250,0.305036193,0.310981057,0.383982751,0,0,0,0.265393501,0.045587556,0.055137474,32465,12.9492445,0.121058156,71050,0
Kansas,20,0,0,0,3,0,0.062447301,776,4.588234425,0.099321318,1116,1.377725482,0.133081709,1459,1.981735945,0.129126274,1575,1.683872223,0.08567188,3826,6.196464062,0.149673986,202,1.102872968,0.248854338,571,6.778815269,0.097826834,327,0.823971748,0.099408688,1775,1.730436921,0.170988893,627,3.22690773,0.097792044,473,0.945372224,0.108318249,2051,0.723228812,0.200111071,1579,8.788352966,0.15439107,1035,3.099294662,0.047575464,1065,7.289426804,0.020227462,1247,13.08206272,0.117523515,2368,0.782535315,0.130319939,1454,1.49682045,0.09138488,3217,6.173899651,0.291908283,146,3.37337184,0.18381732,1009,4.612431526,547,0.08943398,0.245306891,0.403899986,0,0.261359143,0.119877908,0.207224305,0.038082586,0.113500473,63231,0.282137394,0.192394515,106707,0.381237051
Kentucky,21,1,0,0,1,3,0.036160248,1160,4.437875748,0.074023231,1826,0.658370376,0.076260865,2322,1.139477849,0.073487089,2589,0.729194224,0.060409766,6749,3.877161264,0.06242064,516,0.552980483,0.221642406,282,4.732483387,0.097237737,350,1.258895755,0.063565752,2590,1.007460237,0.070297767,1171,0.12219099,0.072006227,780,0.220807225,0.072479063,3356,0.687642872,0.092358335,3018,4.631378651,0.08820831,1442,2.12919116,0.043998704,1542,3.664172173,0.031911492,1895,5.736452579,0.068678568,3501,0.127177849,0.069615354,1786,0.053314321,0.061969914,4975,3.619345903,0.102111404,336,1.407664061,0.096750945,1789,3.055252552,458,0.405411407,0.259177015,0.335411578,0,0,0,0.18606836,0.073108655,0.069245272,58543,11.66687107,0.223741675,189349,0
Louisiana,22,1,1,0,1,0,0.04365099,1065,7.490080357,0.109114117,1768,1.055470347,0.114464492,2430,2.090261698,0.102403787,2568,0.350545019,0.082053466,4716,4.329062939,0.088829773,2283,1.913782835,0.307569407,444,7.840908527,0.142455904,388,1.71654284,0.080065118,2133,2.937754631,0.140155515,1510,4.00150013,0.095873617,682,0.272831619,0.092684194,3506,1.565935969,0.137525323,3409,7.886496544,0.105139883,1362,0.492735624,0.07706645,1186,2.450465679,0.027342756,1874,12.74132824,0.096854273,5157,1.100152493,0.122124477,201,0.739063859,0.089689007,4677,4.576089859,0.174519802,412,2.97407341,0.129880708,1956,3.002993822,732,0.539850282,0.200296451,0.259853267,0,0,0,0.148886709,0.051409742,0.100154008,93776,3.408642054,0.242145189,227084,0
Maine,23,0,1,1,5,1,0.039968729,277,4.492623329,0.16645093,447,2.37185216,0.138496507,584,1.546928287,0.079424656,632,2.587202549,0.109826071,1773,0.512963593,0.14500684,24,0.415830046,0.15400453,32,0.52941364,0.119635012,111,0.142578349,0.091637719,573,1.348860621,0.108576149,245,0.125689253,0.110407526,196,0.045533597,0.123769143,926,1.145422697,0.149855302,723,2.475126743,0.176707623,360,2.798571348,0.071949223,386,2.458366871,0.041018927,471,4.595641613,0.105413442,1050,0.821323037,0.122073368,890,0.821323037,0.112264874,1287,1.131147981,0.263370456,65,1.801900029,0.119357933,403,0.013523661,192,0.086544046,0.138083253,0.57517909,0.200193611,0,0.166505324,0.042245886,0.095837367,0.111701276,25825,0.336354107,0.153191128,36052,0.366698935
Maryland,24,1,1,0,1,0,0.03593927,1358,6.30659771,0.068018417,2367,1.441129446,0.09308962,3273,3.117606163,0.082175133,3589,1.105044246,0.036511943,5460,11.35794353,0.060292736,2719,3.489056349,0.305948023,1160,14.71210289,0.048242165,1248,3.863834381,0.075597188,3041,0.209918216,0.107415014,1341,3.262100697,0.084655068,1076,0.740325749,0.065983202,5129,3.069022179,0.126656476,3179,8.730471611,0.123765328,1546,5.061275959,0.051456371,1666,3.946252584,0.022864096,4196,14.20627975,0.078495719,9720,2.281785965,,,,0.063339288,7126,6.907410145,0.131595294,399,2.507171154,0.130653046,2057,5.905700207,686,0.232385255,0.594087849,0.173526896,0,0,0,0.509265148,0.084822701,0.076756503,91202,11.34910011,0.135031819,161218,0
Massachusetts,25,1,0,0,1,5,0.017058996,1798,3.337043524,0.036977134,3447,1.480085492,0.037527103,4004,1.8538059,0.026858837,4054,1.534583926,0.025530414,9141,3.506736994,0.042800766,852,1.231753588,0.03732357,1651,1.071377039,0.048038597,1659,2.492964506,0.02392804,3199,2.148685694,0.033997401,1383,0.467181802,0.039781746,1281,1.036296368,0.032663229,7440,0.631544054,0.046949526,4567,4.6982131,0.048266715,1614,2.789753437,0.030779484,1943,0.12632142,0.011925626,5179,8.39418602,0.032935713,11640,2.504745722,,,,0.027590966,8935,3.731615782,0.073434033,415,1.973832369,0.046421288,2823,2.75530386,353,0.277967814,0.502399045,0.219633141,0,0,0,0.414724856,0.087674189,0.03143538,43559,39.40711594,0.049806306,67782,0
Michigan,26,1,0,0,1,3,0.031781865,2591,5.788527012,0.062106646,3802,0.476595938,0.074980038,4834,3.651796341,0.056327832,5323,1.018283844,0.052486507,12881,3.969069719,0.066551542,1652,0.949933589,0.139863425,840,5.227154732,0.051312782,1177,1.042104602,0.046999599,4995,3.526141882,0.078466022,2406,2.836804628,0.045848004,1448,2.031598568,0.063276345,7701,1.23895967,0.085170929,5982,7.34640789,0.079888379,3190,3.57546711,0.044412599,3075,3.40824461,0.015207279,4303,14.89412785,0.055810301,10917,3.105424166,0.07950559,3705,3.352374077,0.055300646,10551,4.525641918,0.127962934,654,3.841936827,0.075605982,3461,2.349520206,947,0.462107801,0.193424131,0.344468068,0,0,0,0.143037603,0.050386528,0.059991312,112411,22.09664726,0.154891261,292707,0
Minnesota,27,1,1,0,1,4,0.030139861,1402,3.546187162,0.050184453,1880,0.282927722,0.060073402,2834,1.606898904,0.054421514,3064,0.499815166,0.037534851,7574,5.546981812,0.0550253,359,0.207687795,0.213077839,396,6.368002892,0.051849876,851,0.009552028,0.0382793,3183,3.191444874,0.097048604,1026,3.501894474,0.040739388,854,1.290973663,0.051539038,4117,0.11335621,0.084097929,2531,5.220535755,0.093855677,1610,4.424618721,0.031050836,1926,4.181821346,0.014981035,3113,10.02798271,0.047047184,4805,2.199023724,0.069958188,1530,1.741178513,0.045351315,6553,4.69367218,0.105216029,217,1.715535522,0.096046949,1388,4.155370235,438,0.305937388,0.351709248,0.342353365,0,0,0,0.278679381,0.073029867,0.051940721,55580,19.00419044,0.10322944,108496,0
Mississippi,28,0,1,0,2,0,0.054634356,804,10.76319695,0.209908919,1252,2.849082708,0.19480358,1407,2.009629488,0.169793237,1668,0.154197872,0.153540836,2786,2.552641153,0.182703061,2039,1.345511913,0.349975473,143,3.666908979,0.127912006,163,1.148107648,0.119609834,1448,4.96850729,0.212171677,1031,2.805125952,0.176853626,357,0.198482484,0.181781922,2295,1.276035905,0.236876415,2457,8.945767403,0.179698156,965,0.543609738,0.098022958,849,5.643586636,0.035881224,860,13.49923706,0.155411419,1725,1.722071409,0.174903077,2325,0.418947995,0.159547161,2854,3.964474678,0.321629213,269,3.763249874,0.20769505,1434,1.934347987,779,0.105968464,0.082742364,0.371964264,0.439324908,0,0.108286122,0.048680718,0.034061646,0.171344105,100964,7.860721588,0.243680059,145766,0.54761103
Missouri,29,0,1,0,2,0,0.055226837,1566,9.204632759,0.155810917,2517,2.909876347,0.153190777,3239,3.235232115,0.118761366,3417,1.640940189,0.115006267,8834,4.778172493,0.173893968,866,2.856878519,0.249169377,455,4.763876915,0.12551588,584,0.192229122,0.094222156,3429,5.64263916,0.209494988,1545,6.027862072,0.106648349,1000,1.759110928,0.129458253,4765,0.099348545,0.223378918,3876,13.64677143,0.158395839,2078,2.892948151,0.067623974,2166,8.420144081,0.014113357,2619,23.04859352,0.117024408,6997,4.47867775,0.178861033,2486,4.819842339,0.121460683,7048,5.418124199,0.278464415,351,4.159983635,0.171146042,2237,3.401850939,1276,0.09376282,0.107254873,0.427894605,0.371087702,0,0.121269669,0.083155777,0.024099096,0.129978387,151126,3.179426908,0.188638855,219772,0.492357371
Montana,30,1,1,0,1,0,0.046946855,224,2.698273897,0.075864179,359,1.195277333,0.111191922,523,1.284817696,0.107796599,520,1.011536956,0.083627536,1303,1.664925694,0,9,10.22830868,0.119365776,61,0.492572159,0.150247021,253,1.64233017,0.089634699,564,0.294732511,0.094332164,168,0.03219486,0.072077775,181,0.962742388,0.10091437,713,0.764806271,0.111773584,582,1.416769385,0.125788664,313,1.740424514,0.07783864,329,0.83826524,0.055801847,402,2.641475201,0.108737499,115,0.493295699,0.137239893,382,2.355673552,0.081865356,1044,2.649278164,0.154475703,45,0.82623446,0.151188409,371,2.430239677,157,0.402109939,0.206940589,0.390949473,0,0,0,0.103387007,0.103553581,0.093371698,18010,2.396271229,0.185548842,34639,0
Nebraska,31,0,0,0,3,2,0.072431693,515,2.971602201,0.116339427,754,0.240766063,0.143126574,998,1.745884299,0.119817431,1031,0.001399155,0.087863521,2719,5.354551792,0.127912432,104,0.220276237,0.32401115,280,5.894851685,0.114008818,195,0.196878776,0.102304045,1207,1.554988146,0.209551586,426,3.598741055,0.088583867,295,1.329717398,0.108610062,1370,1.161445856,0.218390108,1028,7.081500053,0.138496117,661,1.041253924,0.069057854,725,3.81763196,0.031036143,884,8.870332718,0.10877577,1599,1.641894817,0.140224345,631,1.138088822,0.101672954,2264,3.950952053,0.249685581,83,1.852018595,0.190067414,576,3.146134138,319,0.151717666,0.276474492,0.345913533,0,0.225894308,0.092440437,0.216075802,0.060398691,0.119800392,43693,0.552893817,0.153901945,55807,0.318334745
Nevada,32,1,0,0,1,3,0.109095734,690,2.610103846,0.137476609,1087,0.876538038,0.160717842,1564,1.330188155,0.156979453,1716,1.027997613,0.097920584,2201,6.764840603,0.111452241,393,1.923971415,0.237571152,1579,9.372768402,0.104389324,884,3.343782902,0.134832642,1490,1.33790493,0.172885065,791,1.696712971,0.147144644,533,0.035908055,0.146485246,2243,0.196729749,0.218308107,1681,7.492642403,0.18032029,1066,2.572210073,0.093705487,1025,4.98473835,0.055860383,1285,10.25379944,0.145798014,4575,0.877909005,0.188745689,252,1.114371181,0.127948888,3195,5.652236462,0.27141619,224,3.129513264,0.207634159,1098,4.108271599,642,0.278839861,0.474377964,0.246782175,0,0,0,0.409906652,0.064471312,0.147856335,87093,5.152210236,0.280299499,155733,0
New Hampshire,33,1,1,1,4,0,0.03083505,346,3.971438646,0.064948234,533,0.534791648,0.097636462,689,2.19923687,0.069806903,672,0.190932363,0.065587079,2003,1.838166237,0.186215236,29,1.103211164,0.062582129,91,0.354883641,0.14024302,117,1.81650281,0.055846632,633,1.475782514,0.117198898,224,1.626654744,0.073790527,219,0.101448908,0.06865679,1164,0.441701382,0.086114858,672,1.194726944,0.117505109,348,2.535395861,0.089147815,426,1.092308283,0.024409678,794,5.886260986,0.057513325,827,1.731261015,0.09902352,871,2.436138153,0.067238259,1541,2.094546318,0.211452652,69,1.788977861,0.092491503,396,0.976390362,160,0.300879324,0.201608238,0.497512438,0,0,0,0.102221451,0.099386787,0.071793764,17286,6.066702366,0.15468365,37792,0
New Jersey,34,1,0,0,1,3,0.05063876,2144,9.370611191,0.103481432,3206,1.070934176,0.129633887,4581,3.616669178,0.121090442,5277,2.237332821,0.06053267,8252,14.40935612,0.108354925,1576,0.211711034,0.235615758,3023,16.26207924,0.070378435,2357,5.991922855,0.106325671,4674,0.767545223,0.169364565,1685,5.861902714,0.10668658,1475,0.335194379,0.096867975,7374,3.845083237,0.179153933,4533,12.41772842,0.165288649,2096,5.996808529,0.098185699,2171,1.534773111,0.032899363,6408,20.85720634,0.110272563,14823,0.053346876,,,,0.095769679,9764,8.323760033,0.198400549,593,3.836343527,0.165395114,3227,6.680448055,1360,0.250449726,0.571379442,0.178170832,0,0,0,0.49816406,0.073215382,0.110294907,189004,1.46250701,0.190793592,327062,0
New Mexico,35,1,1,0,1,0,0.05314763,474,3.391937733,0.119035728,724,1.270093203,0.090237554,1033,0.825699806,0.115126057,1012,1.322002769,0.068728951,981,2.860342741,0.095869356,34,0.062546298,0.138466619,1441,5.550162792,0.023999728,787,7.728649616,0.10047988,850,0.053294037,0.102540003,694,0.189571857,0.148654783,269,1.657791853,0.089030463,1430,1.271160245,0.119559343,1531,2.331859589,0.126254763,639,1.605502129,0.087269025,524,0.826543331,0.027924285,549,6.398916245,0.104241131,1956,0.838812411,0.115338205,706,1.009727836,0.090191536,1851,2.295634985,0.134160415,153,0.704983175,0.133765783,895,2.008319378,247,0.342070641,0.392799312,0.265130048,0,0,0,0.344575448,0.048223864,0.099746621,39524,2.002497196,0.247222853,98056,0
